FilterID,Average sampled energy,Percent total sampled
CN19Sc03_10_eDNA,0.000399265,1.05
CN19Sc03_09_eDNA,2.23468E-07,0.00
CN19Sc03_07_eDNA,5.8685E-07,0.00
CN19Sc03_05_eDNA,4.35632E-07,0.00
CN19Sc03_04_eDNA,7.25656E-07,0.00
CN19Sc03_03_eDNA,3.78995E-07,0.00
CN19Sc03_12_eDNA,7.07664E-05,0.19
CN19Sc03_01_eDNA,7.5662E-09,0.00
CN19Sc10_12_eDNA,0.000401899,32.62
CN19Sc10_09_eDNA,4.20849E-07,0.03
CN19Sc10_10_eDNA,5.23552E-07,0.04
CN19Sc10_07_eDNA,1.31808E-06,0.11
CN19Sc10_02_eDNA,1.24491E-06,0.10
CN19Sc10_04_eDNA,6.87948E-07,0.06
CN19Sc10_03_eDNA,4.29912E-08,0.00
CN19Sc10_01_eDNA,9.65976E-10,0.00
CN19Sc10_05_eDNA,6.73948E-07,0.05
CN19Sc11_01_eDNA,6.49378E-10,0.00
CN19Sc11_02_eDNA,1.43478E-08,0.00
CN19Sc11_09_eDNA,3.08627E-07,0.04
CN19Sc11_04_eDNA,5.35769E-07,0.07
CN19Sc11_05_eDNA,1.42062E-06,0.19
CN19Sc11_07_eDNA,1.22336E-06,0.17
CN19Sc11_03_eDNA,7.97389E-08,0.01
CN19Sc11_12_eDNA,0.000138068,18.73
CN19Sc11_12_,0.000138068,18.73
CN19Sc11_10_eDNA,8.7418E-07,0.12
CN19Sc12_03_eDNA,4.07927E-08,0.01
CN19Sc12_04_eDNA,3.58701E-07,0.10
CN19Sc12_07_eDNA,7.1796E-07,0.19
CN19Sc12_01_eDNA,1.22918E-08,0.00
CN19Sc12_09_eDNA,2.66627E-07,0.07
CN19Sc12_10_eDNA,3.03564E-07,0.08
CN19Sc12_12_eDNA,1.65475E-05,4.46
CN19Sc12_05_eDNA,9.52822E-07,0.26
CN19Sc12_02_eDNA,2.66473E-08,0.01
CN19Sc13_01_eDNA,2.78535E-08,0.01
CN19Sc13_02_eDNA,2.64922E-08,0.01
CN19Sc13_03_eDNA,5.28268E-08,0.02
CN19Sc13_05_eDNA,2.35441E-06,0.68
CN19Sc13_07_eDNA,1.33872E-07,0.04
CN19Sc13_09_eDNA,1.12323E-07,0.03
CN19Sc13_10_eDNA,1.15716E-07,0.03
CN19Sc13_04_eDNA,4.05131E-07,0.12
CN19Sc15_07_eDNA,4.06353E-07,0.15
CN19Sc15_12_eDNA,7.71383E-06,2.87
CN19Sc15_10_eDNA,3.17377E-07,0.12
CN19Sc15_09_eDNA,9.39105E-08,0.03
CN19Sc15_05_eDNA,1.18653E-06,0.44
CN19Sc15_03_eDNA,6.57939E-08,0.02
CN19Sc15_02_eDNA,1.96616E-08,0.01
CN19Sc15_01_eDNA,2.3966E-09,0.00
CN19Sc15_04_eDNA,2.1596E-07,0.08
CN19Sc16_12_eDNA,4.00833E-05,4.17
CN19Sc16_10_eDNA,6.70071E-07,0.07
CN19Sc16_05_eDNA,5.87627E-07,0.06
CN19Sc16_07_eDNA,3.64778E-07,0.04
CN19Sc16_04_eDNA,3.51983E-07,0.04
CN19Sc16_03_eDNA,5.87088E-08,0.01
CN19Sc16_01_eDNA,1.39047E-08,0.00
CN19Sc16_02_eDNA,1.01097E-08,0.00
CN19Sc16_09_eDNA,4.97556E-07,0.05
CN19Sc18_12_eDNA,0.000199866,0.02
CN19Sc18_10_eDNA,3.13182E-07,0.00
CN19Sc18_09_eDNA,3.69048E-07,0.00
CN19Sc18_07_eDNA,2.07133E-07,0.00
CN19Sc18_05_eDNA,4.94418E-07,0.00
CN19Sc18_04_eDNA,2.96048E-07,0.00
CN19Sc18_02_eDNA,1.43863E-08,0.00
CN19Sc18_01_eDNA,1.70517E-09,0.00
CN19Sc18_08_eDNA,3.10751E-07,0.00
CN19Sc18_03_eDNA,5.89341E-08,0.00
CN19Sc20_12_eDNA,8.83013E-05,13.07
CN19Sc20_10_eDNA,7.1174E-08,0.01
CN19Sc20_09_eDNA,7.45182E-08,0.01
CN19Sc20_06_eDNA,1.49311E-07,0.02
CN19Sc20_05_eDNA,1.6363E-06,0.24
CN19Sc20_04_eDNA,2.14249E-07,0.03
CN19Sc20_03_eDNA,2.99852E-08,0.00
CN19Sc20_02_eDNA,4.3738E-09,0.00
CN19Sc20_01_eDNA,5.85988E-10,0.00
CN19Sc21_02_eDNA,4.22507E-09,0.00
CN19Sc21_01_eDNA,1.18262E-09,0.00
CN19Sc21_05_eDNA,7.76448E-07,0.12
CN19Sc21_06_eDNA,3.67934E-06,0.58
CN19Sc21_09_eDNA,1.39024E-07,0.02
CN19Sc21_10_eDNA,1.92625E-07,0.03
CN19Sc21_12_eDNA,0.000244721,38.38
CN19Sc21_03_eDNA,6.52142E-08,0.01
CN19Sc21_04_eDNA,3.00871E-07,0.05
CN19Sc23_01_eDNA,3.56035E-09,0.00
CN19Sc23_02_eDNA,1.85385E-08,0.00
CN19Sc23_04_eDNA,3.24906E-07,0.01
CN19Sc23_05_eDNA,4.3603E-07,0.01
CN19Sc23_06_eDNA,5.08979E-07,0.02
CN19Sc23_10_eDNA,2.85712E-07,0.01
CN19Sc23_12_eDNA,0.000172763,5.37
CN19Sc23_07_eDNA,8.39708E-07,0.03
CN19Sc23_08_eDNA,3.53544E-07,0.01
CN19Sc25_09_eDNA,2.46352E-07,0.00
CN19Sc25_10_eDNA,9.67692E-08,0.00
CN19Sc25_07_eDNA,3.37487E-07,0.00
CN19Sc25_06_eDNA,1.77106E-06,0.00
CN19Sc25_05_eDNA,5.94965E-07,0.00
CN19Sc25_04_eDNA,1.93218E-07,0.00
CN19Sc25_12_eDNA,8.29774E-06,0.00
CN19Sc25_01_eDNA,5.61576E-09,0.00
CN19Sc25_02_eDNA,7.00035E-09,0.00
CN19Sc27_10_eDNA,1.60486E-07,0.06
CN19Sc27_01_eDNA,1.39548E-09,0.00
CN19Sc27_02_eDNA,2.16239E-08,0.01
CN19Sc27_04_eDNA,1.92166E-07,0.07
CN19Sc27_05_eDNA,1.79216E-06,0.70
CN19Sc27_06_eDNA,2.19417E-07,0.09
CN19Sc27_12_eDNA,2.00249E-06,0.78
CN19Sc27_09_eDNA,1.51642E-07,0.06
CN19Sc27_07_eDNA,8.6002E-08,0.03
CN19Sc29_01_eDNA,1.00404E-08,0.00
CN19Sc29_02_eDNA,1.07945E-08,0.00
CN19Sc29_03_eDNA,0,0.00
CN19Sc29_05_eDNA,0,0.00
CN19Sc29_06_eDNA,5.54387E-07,0.12
CN19Sc29_08_eDNA,1.08748E-06,0.24
CN19Sc29_04_eDNA,2.24641E-07,0.05
CN19Sc29_10_eDNA,2.49463E-07,0.06
CN19Sc29_09_eDNA,4.22148E-07,0.09
CN19Sc29_07_eDNA,1.51302E-06,0.34
CN19Sc29_11_eDNA,3.47607E-07,0.08
CN19Sc29_12_eDNA,9.48126E-05,21.01
CN19Sc31_01_eDNA,4.17182E-09,0.00
CN19Sc31_04_eDNA,2.2471E-07,0.01
CN19Sc31_03_eDNA,4.03627E-08,0.00
CN19Sc31_02_eDNA,1.31644E-08,0.00
CN19Sc31_07_eDNA,3.55633E-07,0.02
CN19Sc31_08_eDNA,2.63223E-07,0.02
CN19Sc31_09_eDNA,6.47675E-07,0.04
CN19Sc31_10_eDNA,8.89653E-07,0.06
CN19Sc31_11_eDNA,8.81745E-07,0.06
CN19Sc31_12_,0.000418794,26.51
CN19Sc31_12_eDNA,0.000418794,26.51
CN19Sc31_05_eDNA,4.1932E-07,0.03
CN19Sc31_06_eDNA,5.59654E-07,0.04
CN19Sc34_01_eDNA,3.12395E-08,0.00
CN19Sc34_02_eDNA,9.36646E-09,0.00
CN19Sc34_04_eDNA,1.79466E-07,0.00
CN19Sc34_11_eDNA,1.38059E-07,0.00
CN19Sc34_07_eDNA,2.04313E-06,0.00
CN19Sc34_09_eDNA,4.26455E-07,0.00
CN19Sc34_08_eDNA,5.61278E-07,0.00
CN19Sc34_06_eDNA,7.14029E-07,0.00
CN19Sc34_12_eDNA,1.56154E-05,0.00
CN19Sc36_06_eDNA,6.24964E-07,0.20
CN19Sc36_01_eDNA,1.0275E-09,0.00
CN19Sc36_02_eDNA,1.54724E-08,0.00
CN19Sc36_04_eDNA,2.7015E-07,0.09
CN19Sc36_09_eDNA,3.77147E-07,0.12
CN19Sc36_08_eDNA,9.87799E-08,0.03
CN19Sc36_11_eDNA,1.28866E-07,0.04
CN19Sc36_12_eDNA,6.015E-05,19.26
CN19Sc36_07_eDNA,1.20688E-07,0.04
CN19Sc38_12_eDNA,0.001019051,43.95
CN19Sc38_11_eDNA,4.20871E-07,0.02
CN19Sc38_10_eDNA,1.60649E-07,0.01
CN19Sc38_09_eDNA,1.37795E-07,0.01
CN19Sc38_08_eDNA,2.41507E-07,0.01
CN19Sc38_07_eDNA,1.49212E-06,0.06
CN19Sc38_06_eDNA,8.0939E-07,0.03
CN19Sc38_05_eDNA,6.76099E-07,0.03
CN19Sc38_04_eDNA,2.12724E-07,0.01
CN19Sc38_03_eDNA,3.48926E-08,0.00
CN19Sc38_02_eDNA,6.04971E-09,0.00
CN19Sc38_01_eDNA,1.26118E-09,0.00